0: Insert(16385,138)
4: Insert(19059,179)
32: Insert(5296,133)
130: Insert(13764,126)
220: Insert(15569,153)
283: Insert(4480,60)
304: Insert(13257,109)
325: Insert(10492,169)
402: Insert(15269,83)
466: Insert(3207,140)
480: Insert(18289,91)
495: Insert(5131,88)
563: Insert(4219,63)
571: Insert(19833,130)
605: Insert(802,142)
669: Insert(12593,198)
749: Insert(1428,128)
845: Insert(13213,185)
917: Insert(9390,91)
1004: Insert(18442,125)
1076: Insert(13320,32)
1101: Insert(13188,141)
1159: Insert(4172,197)
1235: Insert(2609,13)
1245: Insert(2116,48)
1293: Insert(19770,108)
1326: Insert(11644,180)
1372: Insert(12639,41)
1399: Insert(898,59)
1429: Insert(15864,191)
1507: Insert(18872,169)
1544: Insert(945,183)
1638: Insert(17218,24)
1656: Insert(4727,24)
1662: Insert(10554,149)
1714: Insert(16455,142)
1807: Insert(5738,175)
1819: Insert(7775,188)
1897: Insert(13316,63)
1900: Insert(4233,71)
1994: Insert(15063,56)
2084: Insert(4701,192)
2179: Insert(4560,141)
2197: Insert(9380,61)
2260: Insert(5727,177)
2347: Insert(2419,78)
2354: Insert(15444,159)
574000: PrintJob(5131)
782000: NextJob(3207)
793000: PrintJob(0,100000)
